,Solar,Wind Offshore,Wind Onshore
141,0.0,4.7714080931898994,134.47245117948748
142,0.0,10.49386615947397,132.56610534097706
143,0.0,23.980246869253428,122.69400650522677
144,0.0,10.060572180846123,100.3227366921177
145,0.0,36.48960214113476,99.00244355745464
146,0.0,19.93247143422783,66.53233749315648
147,0.0,34.48174985239779,68.3739652513561
148,32.458268284692124,2.760551245523935,70.41341935153177
149,123.28402886291393,0.0,69.89310929149006
150,392.78288842373075,31.256934160474305,34.999024322984724
151,765.0521997044505,47.79123474146326,40.696427033164134
152,1272.6002068477637,39.202470607867184,27.026201443282865
153,1682.1388172128309,70.43989422612724,26.78038439145844
154,2104.365817733322,34.83760676812541,45.87412312041138
155,2246.2688901980014,52.64428636730592,48.58298887791825
156,2512.833796445948,18.005805611849645,36.76224509018124
157,2389.8821540712015,0.0,47.579432392695345
158,2059.6309329123264,20.889279216581922,58.87287439260738
159,1741.4307081459037,1.951965399323555,60.963997217819056
160,1383.1111430685507,18.7047086973097,51.407327202968276
161,964.0057326264881,54.90809448014929,61.022488519099895
162,640.2849484127628,77.42901587536589,72.6500620151888
163,190.45055743817963,175.9039178053634,72.7265128653923
164,8.065606605589949,272.72001519723017,107.46568319533075
165,0.0,311.29789024344456,162.69594054747964
166,0.0,287.4420148954848,197.09039834792398
167,0.0,121.42024270433159,208.04897465535134
168,0.0,174.041940025283,229.79295567593155
